100 340 220 350 230 350 240 350 230 350 220 350 210 340 200 330 190 250 170 230 170
99 --- --- 340 --- --- 230 340 220 340 210 340 --- 330 --- 320 --- 240 160 220 160
98 330 210 --- 220 340 220 --- --- --- --- --- 200 --- 190 --- 180 230 --- 210 ---
97 --- 200 330 210 330 --- 330 210 330 200 330 --- 320 --- 310 --- 220 --- --- ---
96 320 --- --- --- --- 210 --- --- --- --- --- 190 --- 180 --- --- 210 --- --- ---
95 --- --- 320 200 320 200 320 200 320 190 320 --- 310 --- 300 170 --- --- 200 ---
94 310 190 --- --- --- --- --- --- --- --- --- --- --- --- --- --- 200 --- 190 ---
93 --- --- 310 190 310 --- 310 190 310 --- 310 180 300 170 290 --- 190 --- 180 ---
92 300 --- --- --- --- 190 --- --- --- 180 300 --- --- --- --- --- --- --- 170 ---
91 --- 180 300 --- 300 --- 300 --- 300 --- --- --- 290 --- 280 160 180 --- --- ---
90 --- --- --- --- --- --- --- 180 --- --- 290 170 --- --- --- --- --- 150 --- 150
89 290 --- 290 180 290 180 290 --- 290 170 --- --- 280 160 270 --- 170 --- --- ---
88 --- 170 --- --- --- --- --- --- --- --- 280 --- --- --- --- --- --- --- --- ---
87 280 --- 280 --- 280 --- 280 170 280 --- --- --- --- --- --- --- --- --- --- ---
86 --- --- --- 170 --- 170 --- --- --- --- 270 160 270 --- 260 --- --- --- --- ---
85 270 --- 270 --- 270 --- 270 --- 270 160 --- --- --- --- --- 150 --- --- --- ---
84 --- 160 --- --- --- --- --- --- --- --- 260 --- 260 150 250 --- --- --- --- ---
83 260 --- 260 --- 260 --- 260 160 260 --- --- --- --- --- --- --- --- --- --- ---
82 --- --- --- 160 --- 160 --- --- --- --- 250 150 250 --- 240 --- --- --- 160 ---
81 250 --- 250 --- 250 --- 250 --- 250 --- --- --- --- --- --- --- --- --- --- ---
80 --- 150 --- --- --- --- --- --- --- 150 --- --- 240 --- 230 --- --- 140 --- 140
79 240 --- 240 --- 240 --- 240 150 240 --- 240 --- --- 140 --- 140 160 --- --- ---
78 --- --- --- 150 --- 150 --- --- --- --- 230 --- 230 --- 220 --- --- --- --- ---
77 230 --- 230 --- 230 --- 230 --- 230 --- --- --- --- --- --- --- --- --- --- ---
76 --- --- --- --- --- --- --- --- --- --- 220 140 220 --- 210 --- --- --- --- ---
75 220 140 220 --- 220 --- 220 --- 220 140 --- --- --- --- --- --- --- --- --- ---
74 --- --- --- --- --- --- --- 140 --- --- 210 --- 210 --- 200 --- --- --- --- ---
73 210 --- 210 140 210 140 210 --- 210 --- --- --- --- 130 --- --- --- --- --- ---
72 --- --- --- --- --- --- --- --- --- --- 200 --- 200 --- 190 130 --- --- 150 130
71 --- --- 200 --- 200 --- 200 --- 200 --- --- --- --- --- --- --- 150 130 --- ---
70 200 --- 190 --- 190 --- 190 --- 190 --- 190 130 190 --- 180 --- --- --- --- ---
69 190 --- --- --- --- --- --- --- --- 130 --- --- --- --- --- --- --- --- --- ---
68 --- 130 --- --- --- --- --- 130 --- --- 180 --- 180 --- --- --- --- --- --- ---
67 180 --- 180 130 180 130 180 --- 180 --- --- --- --- --- 170 --- --- --- --- ---
66 --- --- --- --- --- --- --- --- --- --- 170 --- 170 --- --- --- --- --- --- ---
65 170 --- 170 --- 170 --- 170 --- 170 --- --- --- --- --- 160 --- --- --- --- ---
64 --- --- --- --- --- --- --- --- --- --- 160 --- 160 --- --- --- --- --- --- ---
63 160 --- 160 --- 160 --- 160 --- 160 --- --- --- --- --- 150 --- --- --- --- ---
62 --- --- --- --- --- --- --- --- 150 --- 150 --- 150 --- --- --- --- --- --- ---
61 --- --- --- --- --- --- 150 --- --- --- --- --- --- --- --- --- --- --- --- ---
60 150 120 150 120 150 120 140 120 140 120 140 120 140 120 140 120 140 120 140 120
50 130 110 130 110 130 110 130 110 130 110 130 110 130 110 130 110 130 110 130 110
40 120 100 120 100 120 100 120 100 120 100 120 100 120 100 120 100 120 100 120 100
30 110 90 110 90 110 90 110 90 110 90 110 90 110 90 110 90 110 90 110 90
20 100 80 100 80 100 80 100 80 100 80 100 80 100 80 100 80 100 80 100 80
10 90 70 90 70 90 70 90 70 90 70 90 70 90 70 90 70 90 70 90 70
0 80 60 80 60 80 60 80 60 80 60 80 60 80 60 80 60 80 60 80 60
